record_id,school_id,class_id,teacher_id,assignment_id,item_id,student_id,grade,subject,item_type,max_score,model_score,teacher1_score,teacher2_score,adjudicated_score,model_correct,confidence,threshold_version,risk_flag,route,review_completed,severe_error,post_review_correct,baseline_time_sec,review_time_sec,knowledge_point,synthetic
R001,SCH-A,C07-02,T-MATH-01,A-MATH-001,Q01,STU-A01,7,数学,objective,1,1,1,1,1,true,0.98,v0.1-demo,none,auto_pass,false,false,true,50,6,有理数运算,true
R002,SCH-A,C07-02,T-MATH-01,A-MATH-001,Q02,STU-A02,7,数学,objective,1,0,0,0,0,true,0.96,v0.1-demo,none,auto_pass,false,false,true,48,6,整式化简,true
R003,SCH-A,C07-02,T-MATH-01,A-MATH-001,Q03,STU-A03,7,数学,objective,1,1,0,0,0,false,0.83,v0.1-demo,识别冲突,teacher_review,true,false,true,62,28,几何判定,true
R004,SCH-A,C07-02,T-MATH-01,A-MATH-001,Q04,STU-A04,7,数学,objective,1,0,0,0,0,true,0.71,v0.1-demo,低置信度,teacher_review,true,false,true,70,31,公式书写,true
R005,SCH-B,C08-01,T-ENG-02,A-ENG-001,Q01,STU-A05,8,英语,objective,1,1,1,1,1,true,0.97,v0.1-demo,none,auto_pass,false,false,true,42,5,一般过去时,true
R006,SCH-B,C08-01,T-ENG-02,A-ENG-001,Q02,STU-A06,8,英语,objective,1,0,0,0,0,true,0.95,v0.1-demo,none,auto_pass,false,false,true,45,5,名词复数,true
R007,SCH-B,C08-01,T-ENG-02,A-ENG-001,Q03,STU-A07,8,英语,objective,1,1,1,1,1,true,0.74,v0.1-demo,低置信度,teacher_review,true,false,true,55,23,介词搭配,true
R008,SCH-C,C07-04,T-CHI-03,A-CHI-001,Q01,STU-A08,7,语文,objective,1,0,0,0,0,true,0.94,v0.1-demo,none,auto_pass,false,false,true,46,6,说明方法,true
R009,SCH-C,C07-04,T-CHI-03,A-CHI-001,Q02,STU-A09,7,语文,objective,1,1,0,0,0,false,0.67,v0.1-demo,低置信度,teacher_review,true,true,true,65,34,病句辨析,true
R010,SCH-C,C07-04,T-CHI-03,A-CHI-001,Q03,STU-A10,7,语文,objective,1,1,1,1,1,true,0.93,v0.1-demo,none,sample_review,true,false,true,44,16,文本信息提取,true
R011,SCH-C,C07-04,T-CHI-03,A-CHI-002,Q04,STU-A11,7,语文,subjective,100,86,88,86,87,true,0.58,v0.1-demo,开放表达,teacher_review,true,false,true,240,108,写作立意,true
R012,SCH-C,C07-04,T-CHI-03,A-CHI-002,Q05,STU-A12,7,语文,subjective,80,61,70,72,71,false,0.64,v0.1-demo,开放表达,teacher_review,true,true,true,220,120,文本作用,true
R013,SCH-B,C08-01,T-ENG-02,A-ENG-002,Q04,STU-A13,8,英语,subjective,20,16,17,16,17,true,0.77,v0.1-demo,开放表达,teacher_review,true,false,true,150,66,短文表达,true
R014,SCH-B,C08-01,T-ENG-02,A-ENG-002,Q05,STU-A14,8,英语,subjective,20,13,15,14,15,true,0.73,v0.1-demo,低置信度,teacher_review,true,false,true,140,62,时态迁移,true
R015,SCH-A,C07-02,T-MATH-01,A-MATH-002,Q05,STU-A15,7,数学,subjective,10,6,7,7,7,true,0.43,v0.1-demo,步骤缺失,face_to_face,true,false,true,180,95,几何证明,true
R016,SCH-A,C07-02,T-MATH-01,A-MATH-002,Q06,STU-A16,7,数学,subjective,10,9,9,8,9,true,0.81,v0.1-demo,none,sample_review,true,false,true,160,58,一元一次方程,true
R017,SCH-C,C07-04,T-CHI-03,A-CHI-002,Q06,STU-A17,7,语文,subjective,100,90,92,90,91,true,0.86,v0.1-demo,开放表达,teacher_review,true,false,true,260,118,人物描写,true
R018,SCH-C,C07-04,T-CHI-03,A-CHI-002,Q07,STU-A18,7,语文,subjective,100,74,77,78,78,false,0.72,v0.1-demo,需人工关注的作答变化,teacher_review,true,false,true,230,105,说明顺序,true
R019,SCH-B,C08-01,T-ENG-02,A-ENG-002,Q06,STU-A19,8,英语,subjective,20,18,18,19,18,true,0.89,v0.1-demo,none,auto_pass,false,false,true,130,18,句式改写,true
R020,SCH-A,C07-02,T-MATH-01,A-MATH-002,Q07,STU-A20,7,数学,subjective,10,4,7,6,7,false,0.69,v0.1-demo,连续订正未改善,face_to_face,true,true,true,190,102,应用题建模,true
